gop,object_id,mAP,AP50,AP75,predictions,ground_truths,dataset,video_name,video_id
1,71,0.2632653061224489,0.7755102040816326,0.08163265306122448,49,49,MOT17,MOT17-04-SDP,04-SDP
1,74,0.24897959183673465,0.5306122448979592,0.30612244897959184,49,49,MOT17,MOT17-04-SDP,04-SDP
1,75,0.33469387755102037,0.5306122448979592,0.3877551020408163,49,49,MOT17,MOT17-04-SDP,04-SDP
1,76,1.0,1.0,1.0,49,49,MOT17,MOT17-04-SDP,04-SDP
1,78,0.846938775510204,1.0,1.0,49,49,MOT17,MOT17-04-SDP,04-SDP
1,80,0.39183673469387753,0.7755102040816326,0.1836734693877551,49,49,MOT17,MOT17-04-SDP,04-SDP
1,82,0.30612244897959184,0.40816326530612246,0.30612244897959184,49,49,MOT17,MOT17-04-SDP,04-SDP
1,83,0.6938775510204082,1.0,0.9795918367346939,49,49,MOT17,MOT17-04-SDP,04-SDP
1,84,0.07959183673469387,0.14285714285714285,0.061224489795918366,49,49,MOT17,MOT17-04-SDP,04-SDP
1,85,0.0673469387755102,0.12244897959183673,0.061224489795918366,49,49,MOT17,MOT17-04-SDP,04-SDP
1,86,0.9428571428571428,1.0,1.0,49,49,MOT17,MOT17-04-SDP,04-SDP
1,87,0.9693877551020409,1.0,1.0,49,49,MOT17,MOT17-04-SDP,04-SDP
1,88,0.9897959183673469,1.0,1.0,49,49,MOT17,MOT17-04-SDP,04-SDP
1,89,0.24693877551020407,0.6326530612244898,0.1836734693877551,49,49,MOT17,MOT17-04-SDP,04-SDP
1,90,0.6306122448979592,1.0,0.5510204081632653,49,49,MOT17,MOT17-04-SDP,04-SDP
1,91,0.48775510204081635,1.0,0.2653061224489796,49,49,MOT17,MOT17-04-SDP,04-SDP
1,92,0.8571428571428571,1.0,1.0,49,49,MOT17,MOT17-04-SDP,04-SDP
1,93,0.7693877551020408,1.0,0.8163265306122449,49,49,MOT17,MOT17-04-SDP,04-SDP
1,94,0.8551020408163265,1.0,1.0,49,49,MOT17,MOT17-04-SDP,04-SDP
1,95,1.0,1.0,1.0,49,49,MOT17,MOT17-04-SDP,04-SDP
1,96,0.9510204081632653,1.0,1.0,49,49,MOT17,MOT17-04-SDP,04-SDP
1,97,0.02040816326530612,0.02040816326530612,0.02040816326530612,49,49,MOT17,MOT17-04-SDP,04-SDP
1,99,0.4877551020408163,1.0,0.22448979591836735,49,49,MOT17,MOT17-04-SDP,04-SDP
2,1,1.0,1.0,1.0,49,49,MOT17,MOT17-04-SDP,04-SDP
2,2,0.7142857142857142,1.0,1.0,49,49,MOT17,MOT17-04-SDP,04-SDP
2,3,0.5959183673469387,0.7551020408163265,0.5918367346938775,49,49,MOT17,MOT17-04-SDP,04-SDP
2,4,1.0,1.0,1.0,49,49,MOT17,MOT17-04-SDP,04-SDP
2,5,0.3836734693877551,0.7551020408163265,0.2653061224489796,49,49,MOT17,MOT17-04-SDP,04-SDP
2,6,1.0,1.0,1.0,49,49,MOT17,MOT17-04-SDP,04-SDP
2,60,0.6448979591836734,1.0,0.6122448979591837,49,49,MOT17,MOT17-04-SDP,04-SDP
2,62,1.0,1.0,1.0,49,49,MOT17,MOT17-04-SDP,04-SDP
2,63,0.12448979591836735,0.2857142857142857,0.08163265306122448,49,49,MOT17,MOT17-04-SDP,04-SDP
2,65,0.163265306122449,0.3673469387755102,0.10204081632653061,49,49,MOT17,MOT17-04-SDP,04-SDP
2,66,0.16938775510204082,0.2653061224489796,0.1836734693877551,49,49,MOT17,MOT17-04-SDP,04-SDP
2,67,0.22653061224489793,0.7142857142857143,0.10204081632653061,49,49,MOT17,MOT17-04-SDP,04-SDP
2,68,0.9081632653061223,1.0,1.0,49,49,MOT17,MOT17-04-SDP,04-SDP
2,69,0.9530612244897959,1.0,1.0,49,49,MOT17,MOT17-04-SDP,04-SDP
2,70,0.27755102040816326,0.4489795918367347,0.2653061224489796,49,49,MOT17,MOT17-04-SDP,04-SDP
2,71,0.2346938775510204,0.40816326530612246,0.22448979591836735,49,49,MOT17,MOT17-04-SDP,04-SDP
2,74,0.4122448979591836,0.7959183673469388,0.3877551020408163,49,49,MOT17,MOT17-04-SDP,04-SDP
2,75,0.23061224489795915,0.6938775510204082,0.10204081632653061,49,49,MOT17,MOT17-04-SDP,04-SDP
2,76,1.0,1.0,1.0,49,49,MOT17,MOT17-04-SDP,04-SDP
2,78,0.7102040816326531,1.0,0.7959183673469388,49,49,MOT17,MOT17-04-SDP,04-SDP
2,80,0.23061224489795915,0.5510204081632653,0.12244897959183673,49,49,MOT17,MOT17-04-SDP,04-SDP
2,82,0.19183673469387755,0.4489795918367347,0.14285714285714285,49,49,MOT17,MOT17-04-SDP,04-SDP
2,83,0.31632653061224486,0.8367346938775511,0.24489795918367346,49,49,MOT17,MOT17-04-SDP,04-SDP
2,84,0.3877551020408163,0.7959183673469388,0.2653061224489796,49,49,MOT17,MOT17-04-SDP,04-SDP
2,85,0.6510204081632653,1.0,0.5918367346938775,49,49,MOT17,MOT17-04-SDP,04-SDP
2,86,0.9795918367346939,1.0,1.0,49,49,MOT17,MOT17-04-SDP,04-SDP
2,87,0.8530612244897959,1.0,1.0,49,49,MOT17,MOT17-04-SDP,04-SDP
